date ,Region,price
01/03/1992,Wales,1.1910
01/03/1992,West Midlands,1.1945
01/03/1992,Yorkshire & Humber,1.1675
01/04/1992,East Anglia,1.3670
01/04/1992,East Midlands,1.2779
01/04/1992,London,1.4462
01/04/1992,North,1.2404
01/04/1992,North West,1.1812
01/04/1992,Northern Ireland,1.3682
01/04/1992,Scotland,1.2566
01/04/1992,South East,1.4230
01/04/1992,South West,1.3742
01/04/1992,Wales,1.2109
01/04/1992,West Midlands,1.2081
01/04/1992,Yorkshire & Humber,1.1777
01/05/1992,East Anglia,1.3748
01/05/1992,East Midlands,1.2687
01/05/1992,London,1.4534
01/05/1992,North,1.2408
01/05/1992,North West,1.1871
01/05/1992,Northern Ireland,1.3787
01/05/1992,Scotland,1.2657
01/05/1992,South East,1.4309
01/05/1992,South West,1.3796
01/05/1992,Wales,1.2143
01/05/1992,West Midlands,1.2086
01/05/1992,Yorkshire & Humber,1.1838
01/06/1992,East Anglia,1.3762
01/06/1992,East Midlands,1.2733
01/06/1992,London,1.4740
01/06/1992,North,1.2555
01/06/1992,North West,1.1944
01/06/1992,Northern Ireland,1.3787
01/06/1992,Scotland,1.2834
01/06/1992,South East,1.4366
01/06/1992,South West,1.3849
01/06/1992,Wales,1.2130
01/06/1992,West Midlands,1.2149
01/06/1992,Yorkshire & Humber,1.1827
01/07/1992,East Anglia,1.3920
01/07/1992,East Midlands,1.2861
01/07/1992,London,1.4708
01/07/1992,North,1.2512
01/07/1992,North West,1.2043
01/07/1992,Northern Ireland,1.3787
01/07/1992,Scotland,1.3207
01/07/1992,South East,1.4533
01/07/1992,South West,1.3970
01/07/1992,Wales,1.2162
01/07/1992,West Midlands,1.2151
01/07/1992,Yorkshire & Humber,1.1976
01/08/1992,East Anglia,1.3934
01/08/1992,East Midlands,1.2920
01/08/1992,London,1.4624
01/08/1992,North,1.2551
01/08/1992,North West,1.2080
01/08/1992,Northern Ireland,1.3774
01/08/1992,Scotland,1.3211
01/08/1992,South East,1.4598
01/08/1992,South West,1.3976
01/08/1992,Wales,1.2130
01/08/1992,West Midlands,1.2450
01/08/1992,Yorkshire & Humber,1.2026
01/09/1992,East Anglia,1.4060
01/09/1992,East Midlands,1.3021
01/09/1992,London,1.4743
01/09/1992,North,1.2635
01/09/1992,North West,1.2115
01/09/1992,Northern Ireland,1.3787
01/09/1992,Scotland,1.3191
01/09/1992,South East,1.4685
01/09/1992,South West,1.4164
01/09/1992,Wales,1.2202
01/09/1992,West Midlands,1.2530
01/09/1992,Yorkshire & Humber,1.2106
01/10/1992,East Anglia,1.4144
01/10/1992,East Midlands,1.3145
01/10/1992,London,1.4931
01/10/1992,North,1.2647
01/10/1992,North West,1.2127
01/10/1992,Northern Ireland,1.4223
01/10/1992,Scotland,1.3156
01/10/1992,South East,1.4738
01/10/1992,South West,1.4171
01/10/1992,Wales,1.2434
01/10/1992,West Midlands,1.2568
01/10/1992,Yorkshire & Humber,1.2205
01/11/1992,East Anglia,1.4120
01/11/1992,East Midlands,1.3148
01/11/1992,London,1.4829
01/11/1992,North,1.2713
01/11/1992,North West,1.2128
01/11/1992,Northern Ireland,1.4245
01/11/1992,Scotland,1.3203
01/11/1992,South East,1.4700
01/11/1992,South West,1.4232
01/11/1992,Wales,1.2451
01/11/1992,West Midlands,1.2624
01/11/1992,Yorkshire & Humber,1.2229
01/12/1992,East Anglia,1.4211
01/12/1992,East Midlands,1.3242
01/12/1992,London,1.4826
01/12/1992,North,1.2650
01/12/1992,North West,1.2091
01/12/1992,Northern Ireland,1.4244
01/12/1992,Scotland,1.3209
01/12/1992,South East,1.4737
01/12/1992,South West,1.4224
01/12/1992,Wales,1.2521
01/12/1992,West Midlands,1.2586
01/12/1992,Yorkshire & Humber,1.2269
01/01/1993,East Anglia,1.4104
01/01/1993,East Midlands,1.3214
01/01/1993,London,1.4999
01/01/1993,North,1.2759
01/01/1993,North West,1.2069
01/01/1993,Northern Ireland,1.4243
01/01/1993,Scotland,1.3247
01/01/1993,South East,1.4716
01/01/1993,South West,1.4186
01/01/1993,Wales,1.2488
01/01/1993,West Midlands,1.2614
01/01/1993,Yorkshire & Humber,1.2280
01/02/1993,East Anglia,1.4108
01/02/1993,East Midlands,1.3140
01/02/1993,London,1.4914
01/02/1993,North,1.2742
01/02/1993,North West,1.2185
01/02/1993,Northern Ireland,1.4329
01/02/1993,Scotland,1.3246
01/02/1993,South East,1.4645
01/02/1993,South West,1.4069
01/02/1993,Wales,1.2502
01/02/1993,West Midlands,1.2637
01/02/1993,Yorkshire & Humber,1.2246
01/03/1993,East Anglia,1.4108
01/03/1993,East Midlands,1.3181
01/03/1993,London,1.4859
01/03/1993,North,1.2852
01/03/1993,North West,1.2186
01/03/1993,Northern Ireland,1.4350
01/03/1993,Scotland,1.3225
01/03/1993,South East,1.4688
01/03/1993,South West,1.4131
01/03/1993,Wales,1.2538
01/03/1993,West Midlands,1.2609
01/03/1993,Yorkshire & Humber,1.2230
01/04/1993,East Anglia,1.4341
01/04/1993,East Midlands,1.3431
01/04/1993,London,1.5110
01/04/1993,North,1.3104
01/04/1993,North West,1.2478
01/04/1993,Northern Ireland,1.4662
01/04/1993,Scotland,1.3532
01/04/1993,South East,1.4942
01/04/1993,South West,1.4403
01/04/1993,Wales,1.2726
01/04/1993,West Midlands,1.2857
01/04/1993,Yorkshire & Humber,1.2411
01/05/1993,East Anglia,1.4374
01/05/1993,East Midlands,1.3460
01/05/1993,London,1.5115
01/05/1993,North,1.3101
01/05/1993,North West,1.2456
01/05/1993,Northern Ireland,1.4662
01/05/1993,Scotland,1.3625
01/05/1993,South East,1.4911
01/05/1993,South West,1.4477
01/05/1993,Wales,1.2745
01/05/1993,West Midlands,1.2830
01/05/1993,Yorkshire & Humber,1.2456
01/06/1993,East Anglia,1.4406
01/06/1993,East Midlands,1.3481
01/06/1993,London,1.5151
01/06/1993,North,1.3155
01/06/1993,North West,1.2482
01/06/1993,Northern Ireland,1.4717
01/06/1993,Scotland,1.3769
01/06/1993,South East,1.5008
01/06/1993,South West,1.4645
01/06/1993,Wales,1.2776
01/06/1993,West Midlands,1.2803
01/06/1993,Yorkshire & Humber,1.2518
01/07/1993,East Anglia,1.4600
01/07/1993,East Midlands,1.3721
01/07/1993,London,1.5273
01/07/1993,North,1.3184
01/07/1993,North West,1.2574
