Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71232.78943,71405.37812,72705.72804,70908.80819,71176.34193,72446.90163,72695.15211,69939.97718,67986.13835,68540.82093,69022.88016,69483.90486,70771.59882,71483.1809,70616.62004,69787.8222,71843.52336,71051.71079,68856.16169,66851.11704,67753.42177,69388.8132,69090.34149,66715.69265,64190.82415,63147.48349,60867.29187,60994.53156,60389.18465,62098.01138,62200.88204,60640.97344
Bhutan,BTN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880.571658,2848.238815,2979.907445,3050.140953,3205.291336,3414.550755,3559.029162,3680.665341,3810.859781,4018.927489,4061.499026,4308.525604,4686.010847,4957.529129,5165.173469,5456.70775,5761.750141,6743.046532,6995.779305,7393.917855,8190.576223,8744.957643,9084.004455,9163.563551,9574.029004,10086.0728,10775.19031,11142.47467,11348.44195,11864.76625,10551.45185,
Botswana,BWA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8431.739276,8790.35358,8799.828413,8740.441505,8836.786674,9232.009612,9539.383617,10094.13607,9911.136066,10636.8464,10629.94692,10457.14818,10896.88274,11205.39998,11305.57343,11600.3295,12318.36204,13056.67253,13581.16899,12298.83215,13126.2147,13724.67135,14166.54426,15597.61742,16042.05249,14895.90498,15654.68183,15948.03202,16222.40745,16404.44491,14667.80372,16023.85462
Central African Republic,CAF,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.674665,1165.240259,1060.638246,1033.830959,1053.745934,1098.894561,1027.650038,1055.257751,1078.453826,1091.360827,1040.103835,1062.722306,1077.954127,998.9999451,1037.84467,1026.913908,1055.087334,1082.686648,1085.440256,1161.190011,1201.352197,1242.714801,1300.28881,824.9432757,822.6111949,852.7492366,884.4951965,912.8030453,933.1099506,946.0596566,937.8564701,928.9439272
Canada,CAN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34034.45518,34697.09058,35782.69026,37194.3956,37309.6498,38169.10636,39268.21243,40426.23133,42046.86958,43358.18239,45888.47633,45851.63025,44003.61704,44861.52396,45822.59643,46126.51389,46704.76224,47564.60911,47522.14067,47457.58535,48317.17458,48962.48151,49171.51109,46064.25396,47903.02891
Central Europe and the Baltics,CEB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13987.68015,12640.91559,12385.07151,12581.38162,13094.12522,13858.01847,14518.0381,14803.87133,15208.18475,15497.49104,16198.8954,16825.28982,17557.47228,18320.27293,19472.64661,20496.90382,21904.16166,23391.88765,24456.47499,23676.90935,24116.23808,24913.4265,25177.03067,25566.8653,26389.29828,27483.6766,28419.32387,29901.29603,31308.75364,32642.84522,31493.01333,33413.55001
Switzerland,CHE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56329.21565,55120.11476,54491.90035,53929.85852,54181.00257,54078.95231,54106.57086,55201.20477,56724.50517,57440.05357,59389.42406,59944.77692,59489.74806,59022.35241,60271.93241,61613.39105,63686.24824,65641.71061,66598.85937,64404.07986,65819.73725,66342.01082,66440.28702,66877.16305,67682.68618,68025.92004,68663.24382,69103.57026,70597.29207,70944.35481,68755.43703,70792.65653
Channel Islands,CHI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9751.705394,10340.89033,11307.4694,11857.92817,12259.7501,13155.73531,13851.8031,14675.62905,15093.709,14868.69024,15425.24849,15733.57336,16063.25236,16646.58663,17574.3097,18407.33159,19315.91769,20098.29597,20637.60274,20191.84037,21152.49516,22245.98714,23388.9607,23927.43332,24099.27029,24329.64424,24430.24633,24411.54477,25034.88776,24931.12188,23239.37006,25821.11385
China,CHN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423.896348,1534.705272,1731.657215,1949.534268,2178.924057,2391.477116,2601.363426,2812.711135,3004.427342,3206.730026,3451.679231,3712.338132,4024.355697,4400.825183,4817.211845,5334.646639,5979.781712,6795.174012,7412.874363,8069.354638,8884.588031,9680.0977,10370.72657,11101.93893,11851.40422,12612.35165,13399.13732,14243.53261,15133.99562,15977.76383,16296.7789,17602.69606
